연번,조사연도,국가,분류,구분,사례수(명),30분미만(비율),30분이상-1시간미만(비율),1시간이상-2시간미만(비율),2시간이상-3시간미만(비율),3시간이상-4시간미만(비율),4시간이상-5시간미만(비율),5시간이상(비율),평균(분),시청콘텐츠,주말구분
1,2018,말레이시아,연령별,전체,192,6.3,16.7,29.7,21.9,16.7,4.2,4.7,,,
2,2018,말레이시아,연령별,10대,36,2.8,22.2,22.2,27.8,11.1,5.6,8.3,,,
3,2018,말레이시아,연령별,20대,48,10.4,10.4,33.3,27.1,14.6,2.1,2.1,,,
4,2018,말레이시아,연령별,30대,45,4.4,8.9,31.1,22.2,15.6,8.9,8.9,,,
5,2018,말레이시아,연령별,40대,44,2.3,25,29.5,13.6,25,2.3,2.3,,,
6,2018,말레이시아,연령별,50대 이상,19,15.8,21.1,31.6,15.8,15.8,0,0,,,
7,2018,베트남,연령별,전체,266,14.3,30.1,30.8,15.4,5.6,3,0.8,,,
8,2018,베트남,연령별,10대,36,22.2,22.2,36.1,11.1,5.6,2.8,0,,,
9,2018,베트남,연령별,20대,60,20,33.3,23.3,16.7,6.7,0,0,,,
10,2018,베트남,연령별,30대,78,12.8,24.4,29.5,17.9,6.4,9,0,,,
11,2018,베트남,연령별,40대,61,9.8,37.7,34.4,9.8,4.9,0,3.3,,,
12,2018,베트남,연령별,50대 이상,31,6.5,32.3,35.5,22.6,3.2,0,0,,,
13,2018,싱가포르,연령별,전체,212,9,24.1,37.3,19.3,6.1,2.4,1.9,,,
14,2018,싱가포르,연령별,10대,48,8.3,16.7,39.6,14.6,14.6,6.3,0,,,
15,2018,싱가포르,연령별,20대,45,4.4,24.4,40,22.2,2.2,2.2,4.4,,,
16,2018,싱가포르,연령별,30대,32,6.3,28.1,53.1,9.4,3.1,0,0,,,
17,2018,싱가포르,연령별,40대,54,16.7,27.8,22.2,22.2,7.4,1.9,1.9,,,
18,2018,싱가포르,연령별,50대 이상,33,6.1,24.2,39.4,27.3,0,0,3,,,
19,2018,인도네시아,연령별,전체,224,9.4,18.8,29.5,23.7,8.5,4.5,5.8,,,
20,2018,인도네시아,연령별,10대,31,6.5,22.6,45.2,19.4,3.2,0,3.2,,,
21,2018,인도네시아,연령별,20대,58,6.9,20.7,19,25.9,6.9,10.3,10.3,,,
22,2018,인도네시아,연령별,30대,57,12.3,17.5,31.6,24.6,7,3.5,3.5,,,
23,2018,인도네시아,연령별,40대,50,6,22,28,24,14,4,2,,,
24,2018,인도네시아,연령별,50대 이상,28,17.9,7.1,32.1,21.4,10.7,0,10.7,,,
25,2018,태국,연령별,전체,319,4.7,18.2,32.3,21.6,11.6,6.6,5,,,
26,2018,태국,연령별,10대,60,5,11.7,35,23.3,11.7,8.3,5,,,
27,2018,태국,연령별,20대,74,6.8,16.2,35.1,16.2,12.2,9.5,4.1,,,
28,2018,태국,연령별,30대,73,1.4,27.4,28.8,27.4,11,1.4,2.7,,,
29,2018,태국,연령별,40대,69,4.3,14.5,29,21.7,14.5,7.2,8.7,,,
30,2018,태국,연령별,50대 이상,43,7,20.9,34.9,18.6,7,7,4.7,,,
31,2019,인도,국가별,전체,265,1.5,18.5,36.2,26,10.6,4.5,2.6,,,
32,2019,터키,국가별,전체,287,2.1,10.1,26.5,30.7,14.3,10.8,5.6,,,
33,2019,캐나다,국가별,전체,236,7.2,19.9,35.2,19.5,9.3,4.2,4.7,,,
34,2019,헝가리,국가별,전체,142,7.7,23.2,33.8,19,12,1.4,2.8,,,
35,2019,인도,성별,남성,127,1.6,21.3,36.2,27.6,9.4,1.6,2.4,,,
36,2019,인도,성별,여성,138,1.4,15.9,36.2,24.6,11.6,7.2,2.9,,,
37,2019,터키,성별,남성,111,2.7,12.6,35.1,26.1,12.6,6.3,4.5,,,
38,2019,터키,성별,여성,176,1.7,8.5,21,33.5,15.3,13.6,6.3,,,
39,2019,캐나다,성별,남성,114,7,21.9,37.7,17.5,9.6,1.8,4.4,,,
40,2019,캐나다,성별,여성,122,7.4,18,32.8,21.3,9,6.6,4.9,,,
41,2019,헝가리,성별,남성,76,7.9,22.4,31.6,17.1,17.1,0,3.9,,,
42,2019,헝가리,성별,여성,66,7.6,24.2,36.4,21.2,6.1,3,1.5,,,
43,2019,인도,연령별,10대,25,8,8,40,32,4,4,4,,,
44,2019,인도,연령별,20대,64,0,25,31.3,20.3,15.6,0,7.8,,,
45,2019,인도,연령별,30대,77,1.3,15.6,37.7,26,11.7,6.5,1.3,,,
46,2019,인도,연령별,40대,58,0,13.8,41.4,24.1,10.3,10.3,0,,,
47,2019,인도,연령별,50대 이상,41,2.4,26.8,31.7,34.1,4.9,0,0,,,
48,2019,터키,연령별,10대,22,4.5,27.3,27.3,18.2,22.7,0,0,,,
49,2019,터키,연령별,20대,60,0,6.7,23.3,31.7,16.7,10,11.7,,,
50,2019,터키,연령별,30대,78,1.3,7.7,25.6,30.8,11.5,17.9,5.1,,,
51,2019,터키,연령별,40대,69,4.3,8.7,21.7,30.4,17.4,15.9,1.4,,,
52,2019,터키,연령별,50대 이상,58,1.7,12.1,36.2,34.5,8.6,0,6.9,,,
53,2019,캐나다,연령별,10대,37,5.4,24.3,37.8,18.9,8.1,0,5.4,,,
54,2019,캐나다,연령별,20대,54,5.6,20.4,31.5,22.2,11.1,5.6,3.7,,,
55,2019,캐나다,연령별,30대,54,5.6,11.1,35.2,24.1,9.3,5.6,9.3,,,
56,2019,캐나다,연령별,40대,55,9.1,23.6,34.5,18.2,9.1,5.5,0,,,
57,2019,캐나다,연령별,50대 이상,36,11.1,22.2,38.9,11.1,8.3,2.8,5.6,,,
58,2019,헝가리,연령별,10대,16,6.3,25,43.8,12.5,12.5,0,0,,,
59,2019,헝가리,연령별,20대,42,9.5,19,35.7,19,9.5,4.8,2.4,,,
60,2019,헝가리,연령별,30대,38,0,28.9,31.6,26.3,10.5,0,2.6,,,
61,2019,헝가리,연령별,40대,30,10,20,36.7,10,16.7,0,6.7,,,
62,2019,헝가리,연령별,50대 이상,16,18.8,25,18.8,25,12.5,0,0,,,
63,2019,인도,학력별,고졸 이하,19,5.3,21.1,42.1,31.6,0,0,0,,,
64,2019,인도,학력별,대졸 이상,246,1.2,18.3,35.8,25.6,11.4,4.9,2.8,,,
65,2019,터키,학력별,고졸 이하,47,4.3,10.6,27.7,36.2,14.9,4.3,2.1,,,
66,2019,터키,학력별,대졸 이상,240,1.7,10,26.3,29.6,14.2,12.1,6.3,,,
